year,temperature2mmaxmean,temperature2mmaxmax,temperature2mminmean,temperature2mminmin,temperaturesum,precipitationsum,precipitationsummean,precipitationsummax,rainsumsum,snowfallsumsum,precipitationhourssum,precipitationhoursmean,windspeed10mmaxmean,windspeed10mmaxmax,shortwaveradiationsumsum,shortwaveradiationsummean,et0faoevapotranspirationsum,et0faoevapotranspirationmean,value,item_encoded
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,1164.8,0
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,7942.1,1
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,5029.5,2
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,10765.3,3
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,35006.8,4
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,1036.7,5
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,726.1,6
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,682.3,7
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,6502.6,8
2002,22.644657534246573,39.9,13.15945205479452,2.8,17.64109589041096,457.8,1.2542465753424659,20.7,457.8,0.0,820,2.2465753424657535,19.13205479452055,48.4,6765.69,18.53613698630137,1376.22,3.7704657534246575,10770.9,9
